,0
0,1
1,558
2,557
3,958
4,957
5,1025
6,992
7,3
8,91
9,1236
10,1150
11,1265
12,1090
13,1151
14,1026
15,409
16,408
17,407
18,405
19,406
20,1100
21,1099
22,1224
23,1266
24,427
25,402
26,1263
27,961
28,960
29,732
30,562
31,561
32,560
33,559
34,7
35,8
36,9
37,10
38,11
39,14
40,13
41,1261
42,309
43,310
44,311
45,312
46,313
47,314
48,1183
49,576
50,447
51,446
52,517
53,22
54,21
55,19
56,20
57,18
58,16
59,15
60,17
61,1080
62,1079
63,996
64,1060
65,299
66,349
67,239
68,226
69,448
70,928
71,860
72,1032
73,1192
74,1214
75,659
76,181
77,1054
78,246
79,931
80,485
81,506
82,396
83,262
84,395
85,261
86,807
87,453
88,245
89,1119
90,658
91,504
92,930
93,484
94,260
95,1005
96,73
97,58
98,1069
99,511
100,827
101,828
102,810
103,43
104,823
105,474
106,423
107,515
108,826
109,56
110,393
111,392
112,391
113,30
114,1052
115,61
116,59
117,60
118,600
119,1070
120,607
121,897
122,599
123,74
124,682
125,950
126,519
127,898
128,518
129,248
130,247
131,255
132,254
133,253
134,505
135,257
136,256
137,69
138,70
139,1205
140,1222
141,109
142,55
143,595
144,432
145,52
146,50
147,49
148,40
149,39
150,41
151,46
152,44
153,45
154,51
155,53
156,811
157,338
158,843
159,844
160,512
161,38
162,437
163,845
164,593
165,575
166,1201
167,1186
168,999
169,713
170,574
171,67
172,68
173,335
174,337
175,336
176,714
177,1229
178,1028
179,470
180,812
181,1027
182,433
183,569
184,594
185,249
186,899
187,866
188,849
189,672
190,497
191,398
192,1210
193,449
194,654
195,1254
196,232
197,233
198,355
199,354
200,350
201,351
202,352
203,353
204,240
205,227
206,651
207,204
208,121
209,624
210,625
211,626
212,627
213,622
214,623
215,124
216,939
217,854
218,426
219,229
220,1055
221,1125
222,652
223,199
224,1199
225,696
226,698
227,697
228,695
229,699
230,638
231,583
232,639
233,617
234,619
235,618
236,616
237,399
238,498
239,479
240,613
241,614
242,615
243,520
244,612
245,723
246,725
247,201
248,719
249,720
250,718
251,198
252,228
253,122
254,620
255,621
256,357
257,241
258,172
259,173
260,171
261,211
262,210
263,152
264,176
265,175
266,177
267,178
268,207
269,206
270,205
271,134
272,136
273,135
274,133
275,132
276,125
277,126
278,128
279,129
280,131
281,130
282,1040
283,450
284,242
285,501
286,679
287,259
288,481
289,805
290,1300
291,1293
292,1292
293,1002
294,1288
295,1290
296,1291
297,1289
