,0
0,1
1,557
2,558
3,559
4,560
5,306
6,305
7,303
8,304
9,19
10,20
11,21
12,22
13,317
14,318
15,1183
16,447
17,1157
18,1184
19,1176
20,576
21,214
22,217
23,1219
24,219
25,218
26,1163
27,892
28,893
29,195
30,236
31,314
32,446
33,517
34,76
35,297
36,295
37,294
38,293
39,292
40,291
41,290
42,289
43,80
44,288
45,287
46,748
47,746
48,745
49,747
50,744
51,712
52,743
53,707
54,375
55,708
56,535
57,196
58,645
59,150
60,164
61,706
62,705
63,887
64,973
65,1047
66,444
67,443
68,1090
69,1151
70,409
71,410
72,405
73,406
74,407
75,408
76,404
77,403
78,1224
79,990
80,1091
81,1102
82,1101
83,1100
84,1020
85,1099
86,4
87,92
88,993
89,1058
90,319
91,916
92,1216
93,145
94,146
95,215
96,646
97,969
98,263
99,437
100,38
101,131
102,132
103,133
104,134
105,136
106,137
107,138
108,139
109,140
110,141
111,142
112,143
113,144
114,350
115,349
116,348
117,347
118,346
119,250
120,345
121,343
122,342
123,344
124,1264
125,803
126,731
127,1204
128,1237
129,119
130,34
131,800
132,934
133,1062
134,456
135,528
136,603
137,1063
138,1238
139,1064
140,1115
141,465
142,923
143,1110
144,796
145,1120
146,1256
147,943
148,942
149,451
150,243
151,1071
152,945
153,677
154,947
155,944
156,862
157,536
158,225
159,238
160,1215
161,376
162,863
163,237
164,224
165,85
166,86
167,87
168,88
169,89
170,90
171,1080
172,1060
173,1079
174,996
175,1240
176,867
177,981
178,962
179,1023
180,868
181,1250
182,1249
183,710
184,1088
185,883
186,298
187,525
188,807
189,261
190,681
191,504
192,1069
193,511
194,810
195,828
196,827
197,826
198,515
199,825
200,43
201,823
202,440
203,824
204,101
205,102
206,216
207,213
208,320
209,538
210,886
211,1046
212,972
213,1094
214,1095
215,772
216,771
217,770
218,769
219,321
220,539
221,766
222,765
223,369
224,965
225,779
226,203
227,202
228,201
229,356
230,355
231,240
232,227
233,614
234,615
235,479
236,425
237,616
238,1293
239,522
240,906
241,1291
242,1002
243,1288
244,1290
245,1292
246,110
247,435
248,1202
249,573
250,65
251,598
252,29
253,1038
254,1039
255,882
256,42
257,858
258,514
259,948
260,1035
261,1036
262,809
263,1037
264,473
265,111
266,436
267,998
268,460
269,1117
270,531
271,458
272,1271
273,1289
274,1300
275,907
276,523
277,805
278,259
279,679
280,1180
281,481
282,600
283,394
284,66
285,393
286,391
287,392
288,457
289,567
290,797
291,932
292,32
293,388
294,389
295,1222
296,1205
297,432
298,713
299,999
300,574
301,518
302,898
303,248
304,885
305,1045
306,971
307,1126
308,1257
309,777
310,282
311,1160
312,324
313,1223
314,1211
315,1268
316,1221
317,1159
318,966
319,977
320,544
321,280
322,547
323,546
324,545
325,872
326,1013
327,6
328,995
329,733
330,23
331,1187
332,78
333,77
334,46
335,45
336,44
337,41
338,40
339,39
340,424
341,95
342,903
343,787
344,793
345,1111
346,921
347,462
348,1114
349,711
350,1158
351,884
352,865
353,373
354,532
355,221
356,193
357,792
358,180
359,737
360,738
361,739
362,740
363,163
364,149
365,644
366,352
367,351
368,353
369,354
370,339
371,340
372,341
373,70
374,68
375,67
376,69
377,247
378,595
379,1190
380,1186
381,336
382,337
383,338
384,714
385,594
386,25
387,1000
388,1196
389,608
390,609
391,610
392,611
393,983
394,873
395,1098
396,870
397,378
398,967
399,978
400,1097
401,778
402,283
403,1096
404,776
405,548
406,549
407,81
408,1217
409,550
410,551
411,552
412,553
413,554
414,555
415,556
416,327
417,383
418,2
419,957
420,958
421,563
422,564
423,565
424,577
425,1155
426,1285
427,477
428,1154
429,864
430,1086
431,1235
432,1050
433,27
434,596
435,63
436,1228
437,1234
438,571
439,997
440,572
441,93
442,994
443,5
444,1059
445,1021
446,1141
447,1142
448,1143
449,1144
450,1092
451,429
452,7
453,8
454,9
455,10
456,11
457,12
458,13
459,14
460,15
461,16
462,17
463,1261
464,1220
465,309
466,79
467,1076
468,1024
469,963
470,982
