,0
0,1
1,557
2,558
3,559
4,560
5,561
6,562
7,3
8,1025
9,1019
10,1236
11,1262
12,1150
13,1151
14,1090
15,427
16,402
17,1026
18,732
19,961
20,960
21,959
22,958
23,957
24,2
25,1263
26,1225
27,91
28,992
29,1265
30,1266
31,417
32,445
33,444
34,443
35,565
36,564
37,563
38,1154
39,477
40,1155
41,1285
42,577
43,1156
44,578
45,1175
46,416
47,415
48,414
49,413
50,315
51,412
52,411
53,410
54,409
55,408
56,407
57,406
58,405
59,404
60,403
61,1224
62,990
63,428
64,1091
65,1102
66,1101
67,1100
68,1099
69,1020
70,1058
71,4
72,993
73,92
74,378
75,983
76,873
77,1098
78,870
79,978
80,967
81,1097
82,965
83,779
84,284
85,773
86,772
87,771
88,770
89,769
90,768
91,321
92,539
93,767
94,265
95,369
96,765
97,766
98,694
99,647
100,212
101,213
102,214
103,935
104,264
105,538
106,320
107,917
108,886
109,1046
110,972
111,1094
112,1095
113,283
114,1096
115,778
116,966
117,977
118,1268
119,1211
120,1223
121,1188
122,90
123,89
124,88
125,87
126,85
127,84
128,83
129,1221
130,324
131,279
132,278
133,277
134,276
135,275
136,274
137,273
138,272
139,271
140,270
141,269
142,268
143,650
144,646
145,215
146,160
147,159
148,158
149,156
150,157
151,1255
152,1284
153,1216
154,146
155,145
156,144
157,143
158,141
159,142
160,140
161,139
162,138
163,137
164,136
165,135
166,134
167,133
168,132
169,131
170,130
171,129
172,128
173,126
174,125
175,1254
176,654
177,232
178,233
179,231
180,1233
181,1210
182,449
183,1214
184,1192
185,396
186,506
187,931
188,485
189,246
190,1054
191,181
192,659
193,127
194,120
195,202
196,203
197,204
198,205
199,206
200,207
201,208
202,209
203,210
204,211
205,171
206,172
207,173
208,174
209,1197
210,176
211,152
212,175
213,178
214,177
215,583
216,639
217,638
218,637
219,636
220,635
221,634
222,633
223,153
224,632
225,631
226,630
227,629
228,628
229,167
230,627
231,626
232,625
233,624
234,623
235,622
236,621
237,620
238,122
239,619
240,618
241,617
242,198
243,228
244,241
245,357
246,425
247,616
248,479
249,615
250,614
251,399
252,498
253,613
254,520
255,612
256,251
257,611
258,609
259,610
260,608
261,1196
262,1000
263,1229
264,716
265,715
266,714
267,25
268,594
269,1028
270,569
271,433
272,470
273,812
274,1027
275,507
276,847
277,848
278,846
279,513
280,461
281,920
282,1213
283,1253
284,787
285,903
286,95
287,98
288,99
289,100
290,101
291,102
292,103
293,104
294,105
295,106
296,107
297,108
298,55
299,109
300,1190
301,713
302,999
303,574
304,1186
305,67
306,68
307,69
308,70
309,253
310,254
311,255
312,256
313,257
314,505
315,74
316,395
317,262
318,504
319,484
320,930
321,245
322,453
323,658
324,1119
325,244
326,452
327,483
328,503
329,681
330,261
331,807
332,525
333,909
334,1005
335,73
336,394
337,66
338,112
339,54
340,390
341,391
342,392
343,393
344,1052
345,30
346,599
347,61
348,60
349,59
350,58
351,57
352,56
353,1069
354,511
355,810
356,828
357,827
358,826
359,515
360,825
361,330
362,822
363,423
364,474
365,821
366,820
367,819
368,818
369,817
370,662
371,816
372,782
373,1103
374,1067
375,1167
376,1169
377,1191
378,1252
379,604
380,1166
381,531
382,458
383,568
384,36
385,419
386,431
387,469
388,467
389,114
390,35
391,31
392,1189
393,496
394,801
395,802
396,457
397,567
398,117
399,32
400,932
401,797
402,115
403,116
404,927
405,912
406,1111
407,793
408,902
409,786
410,785
411,784
412,911
413,926
414,664
415,665
416,666
417,667
418,475
419,331
420,668
421,441
422,669
423,670
424,516
425,671
426,386
427,385
428,384
429,387
430,388
431,389
432,824
433,440
434,823
435,43
436,514
437,948
438,1035
439,1036
440,809
441,510
442,1037
443,473
444,111
445,436
446,998
447,573
448,65
449,598
450,29
451,1038
452,606
453,1039
454,71
455,1003
456,907
457,523
458,805
459,501
460,679
461,259
462,1293
463,522
464,906
465,1291
466,1002
467,1292
468,1290
469,1288
470,1271
471,1289
472,896
473,1300
474,258
475,678
